TEAM,MATCH UP,GAME DATE,Win/Loss,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plus/Minus
DEN,DEN vs. POR,5/7/2019,W,240,124,44,89,49.4,8,24,33.3,28,31,90.3,10,52,62,26,4,4,8,22,26
DEN,DEN @ POR,5/5/2019,W,240,116,40,92,43.5,11,25,44,25,28,89.3,17,28,45,21,7,4,10,22,4
DEN,DEN vs. POR,4/29/2019,W,240,121,41,81,50.6,12,29,41.4,27,31,87.1,7,27,34,22,12,7,13,22,8
DEN,DEN vs. SAS,4/23/2019,W,240,108,39,78,50,14,33,42.4,16,20,80,7,42,49,25,4,6,14,21,18
DEN,DEN vs. SAS,4/27/2019,W,240,90,35,88,39.8,2,20,10,18,23,78.3,13,40,53,21,3,8,6,19,4
DEN,DEN @ SAS,4/25/2019,L,240,103,44,96,45.8,6,24,25,9,12,75,12,25,37,26,5,3,7,18,-17
DEN,DEN vs. POR,5/12/2019,L,240,96,33,89,37.1,2,19,10.5,28,39,71.8,13,38,51,15,1,9,5,23,-4
DEN,DEN @ POR,5/3/2019,L,340,137,54,119,45.4,15,42,35.7,14,20,70,24,42,66,28,11,8,21,27,-3
DEN,DEN vs. SAS,4/16/2019,W,240,114,43,89,48.3,10,24,41.7,18,26,69.2,7,34,41,29,5,2,6,21,9
DEN,DEN vs. SAS,4/13/2019,L,240,96,37,88,42,6,28,21.4,16,24,66.7,13,33,46,25,8,3,10,18,-5
DEN,DEN vs. POR,5/1/2019,L,240,90,34,98,34.7,6,29,20.7,16,26,61.5,23,35,58,20,6,5,9,19,-7
DEN,DEN @ SAS,4/18/2019,L,240,108,42,81,51.9,15,29,51.7,9,17,52.9,10,27,37,31,3,1,13,21,-10
BKN,BKN @ PHI,4/13/2019,W,240,111,38,88,43.2,11,26,42.3,24,26,92.3,10,35,45,15,9,2,12,27,9
BKN,BKN vs. PHI,4/18/2019,L,240,115,39,96,40.6,8,39,20.5,29,35,82.9,13,30,43,12,6,2,16,24,-16
BKN,BKN vs. PHI,4/20/2019,L,240,108,36,90,40,12,38,31.6,24,31,77.4,12,29,41,23,10,4,14,26,-4
BKN,BKN @ PHI,4/23/2019,L,240,100,36,93,38.7,9,31,29,19,25,76,9,32,41,26,10,4,15,13,-22
BKN,BKN @ PHI,4/15/2019,L,240,123,43,90,47.8,15,36,41.7,22,29,75.9,12,20,32,20,3,2,14,24,-22
BOS,BOS vs. MIL,5/3/2019,L,240,116,35,81,43.2,16,40,40,30,32,93.8,6,38,44,24,9,3,18,27,-7
BOS,BOS @ MIL,4/30/2019,L,240,102,34,86,39.5,10,28,35.7,24,27,88.9,7,38,45,19,5,2,13,23,-21
BOS,BOS vs. IND,4/17/2019,W,240,99,40,84,47.6,11,28,39.3,8,9,88.9,7,41,48,22,3,5,14,16,8
BOS,BOS vs. IND,4/14/2019,W,240,84,28,77,36.4,10,28,35.7,18,22,81.8,7,48,55,18,8,2,20,20,10
BOS,BOS vs. MIL,5/6/2019,L,240,101,34,90,37.8,9,41,22,24,30,80,9,42,51,25,3,5,11,20,-12
BOS,BOS @ IND,4/21/2019,W,240,110,36,78,46.2,11,28,39.3,27,34,79.4,7,36,43,18,7,1,17,23,4
BOS,BOS @ MIL,5/8/2019,L,240,91,29,93,31.2,7,39,17.9,26,34,76.5,12,36,48,19,9,1,14,18,-25
BOS,BOS @ MIL,4/28/2019,W,240,112,47,87,54,13,31,41.9,5,8,62.5,3,48,51,25,5,11,13,21,22
BOS,BOS @ IND,4/19/2019,W,240,104,38,81,46.9,15,34,44.1,13,22,59.1,9,36,45,23,4,4,13,19,8
